title_length,tag_count,has_tags,like_ratio,comment_density,like_per_view,dislike_per_view,publish_hour,category_code,views
80,28,1,0.9830723614766298,0.0014482885335053673,0.025107270621887823,0.00043232493537473653,16,11,92523
98,11,1,0.7790696768523632,0.0074428495382205615,0.008904837840371028,0.002525252521896262,20,10,7524
26,5,1,0.9277734452383126,0.0038392333076256186,0.0343606569963185,0.002674954535137649,5,11,103927
42,22,1,0.9861613445727924,0.001547491094805073,0.03528842420190041,0.0004951971503376234,0,7,177707
83,13,1,0.9456115102471301,0.000703001146727344,0.00938286664559729,0.0005396718794941837,17,0,1751064
76,17,1,0.8693069134790711,0.0011765712571820965,0.009391177852780734,0.0014118855086185159,22,2,46746
48,38,1,0.9848202168179498,0.0034057462081967674,0.04669531371403667,0.0007197503793001433,15,2,746092
39,22,1,0.9847007738149139,0.009557496743549377,0.09837123429969802,0.001528386888597106,17,9,836830
30,3,1,0.9501084392601207,0.0003410995268592001,0.0064957214245360715,0.0003410995268592001,2,12,67429
47,13,1,0.9754108271669496,0.0015647598734892547,0.03244519094436032,0.0008179121875136635,2,9,2237404
33,9,1,0.9848942555680006,0.00037399625995512126,0.05020349795397569,0.0007699922999076026,0,3,45455
32,9,1,0.8942671468879073,0.005544983759465335,0.04787787952199711,0.005660797018096133,18,11,2063667
55,9,1,0.9440913237573302,0.0028921345268139343,0.02154649357455935,0.001275973944110456,17,0,2736733
48,11,1,0.9597098203574668,0.005612620550301596,0.051895617324777876,0.0021786623856547057,15,2,165698
50,32,1,0.9908055607890934,0.0011667049192730244,0.04804887728501969,0.00044588210541889154,14,2,836544
59,0,0,0.9950840559597718,0.0033337314606123056,0.05759732458187499,0.00028454399189630847,18,3,284666
45,37,1,0.9835298684435615,0.005957287029047165,0.06011147594838013,0.001006623129373,22,8,3371669
